feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X265,0.23292944747427388,0.004762448267651657,0.0031504926724967323,2.343872153700643,9.056848825846748,0.038644720282308816
X266,0.23292944747427388,0.002423090601610103,0.03920588686845441,0.07887985442680596,2.8254522544245866,0.036892628877427634
X267,0.23292944747427388,0.22219992600694896,0.04738408712656842,0.20926558726468583,0.37601193829210144,0.010586580460479235
X268,0.23292944747427388,0.004641150994530876,0.13933029841985192,0.04279700587105399,-0.06873500499063168,0.004355551168472226
X269,0.23292944747427388,-0.02188385555132694,0.11397071861376949,-0.014992573559897502,-0.02950464390340457,0.00508353280852849
X27,0.233447671692619,-68320724543.56622,2603170669805.8066,-38.9032809074506,1535.7500646349815,0.02058090467142117
X270,0.23292944747427388,0.02889204587636659,0.10812602802872544,0.5787727901411035,1.1332143261687655,0.0179527675640994
X271,0.23292944747427388,-0.0199967966067433,0.07910514202613293,-0.6018294189469897,1.8876741315761993,0.01791575154850332
X272,0.23292944747427388,-0.0067672997212989226,0.07385464774908394,-0.11614637023464086,0.5347787330032627,0.011869802334476718
X273,0.23292944747427388,-0.00010769373363148189,0.001132551625632375,-0.39971373593263076,2.5515633982750074,0.03332675270833847
X274,0.23292944747427388,0.015175318436387666,0.11747397949405988,0.9547905168462718,4.515903902172109,0.04168003356118748
X275,0.23292944747427388,0.024679206042832004,0.16577988311136713,1.3734411150681587,6.731237813606301,0.0370900476272734
X276,0.23292944747427388,4.2115016872565816e-05,0.01953827820909471,0.21846559392663434,3.6308045714455544,0.034560619894874516
X277,0.23292944747427388,-0.00929324756956951,0.06845937647526092,-0.17177071696527982,0.1878772933657311,0.007070058978851516
X278,0.23292944747427388,-0.008532031824153007,0.09546267998081288,-0.11107379147462393,0.14517812884225156,0.006082965229622684
X279,0.23292944747427388,1.957745356201021,53.82889469529591,-0.3464859173177769,56.21264068615414,0.14034005379660933
X28,0.233447671692619,-24218530956.84187,907138018655.9374,-37.95014239044414,1454.5877344701714,0.021679046467438245
X280,0.23292944747427388,0.4966163504667686,0.03692732387454197,-0.11614637023463893,0.5347787330032627,0.011869802334476718
X281,0.23292944747427388,0.576729517274494,1.037822819894632,8.939051274064028,204.4900102197163,0.05862103003232732
X282,0.23292944747427388,0.4831562219493359,1.1821875859907083,124.03118988473811,23124.166681916104,0.047491548009772226
X283,0.23292944747427388,0.5324346144469224,0.8951896874494807,11.08336799799472,354.9024551487314,0.054253140191989735
X284,0.23292944747427388,0.27773986142313967,0.04482813156515733,0.11949352517437048,0.02860381216023633,0.00478740468375984
